iter	Passed	Remaining
0	0	462
1	1	444
2	1	431
3	2	430
4	3	427
5	3	421
6	4	422
7	5	431
8	5	429
9	6	431
10	7	428
11	7	425
12	8	423
13	8	420
14	9	418
15	10	416
16	10	415
17	11	413
18	12	412
19	12	410
20	13	408
21	13	407
22	14	407
23	15	405
24	15	405
25	16	403
26	16	402
27	17	404
28	18	404
29	18	402
30	19	401
31	20	400
32	20	399
33	21	398
34	21	396
35	22	396
36	23	395
37	23	394
38	24	393
39	24	392
40	25	391
41	26	390
42	26	392
43	27	391
44	28	390
45	28	389
46	29	388
47	29	387
48	30	386
49	31	385
50	31	384
51	32	384
52	32	383
53	33	382
54	34	381
55	34	380
56	35	379
57	35	378
58	36	378
59	37	377
60	37	376
61	38	377
62	38	376
63	39	375
64	40	374
65	40	374
66	41	373
67	42	372
68	42	371
69	43	370
70	43	368
71	44	368
72	44	367
73	45	366
74	46	365
75	46	365
76	47	364
77	47	363
78	48	363
79	49	362
80	49	362
81	50	361
82	50	361
83	51	360
84	52	359
85	52	358
86	53	358
87	53	357
88	54	356
89	55	356
90	55	355
91	56	354
92	56	354
93	57	353
94	58	352
95	58	351
96	59	351
97	59	350
98	60	349
99	61	349
100	61	348
101	62	348
102	62	347
103	63	346
104	64	345
105	64	345
106	65	344
107	65	343
108	66	343
109	67	342
110	67	341
111	68	341
112	68	340
113	69	340
114	70	339
115	70	338
116	71	337
117	71	337
118	72	336
119	73	335
120	73	335
121	74	334
122	74	333
123	75	333
124	76	332
125	76	331
126	77	330
127	77	330
128	78	329
129	79	328
130	79	328
131	80	327
132	80	326
133	81	326
134	81	325
135	82	324
136	83	324
137	83	323
138	84	322
139	85	322
140	85	321
141	86	321
142	86	320
143	87	319
144	88	319
145	88	318
146	89	318
147	89	317
148	90	317
149	91	317
150	91	316
151	92	315
152	93	315
153	93	314
154	94	313
155	94	313
156	95	312
157	96	311
158	96	311
159	97	310
160	97	310
161	98	309
162	99	308
163	99	308
164	100	307
165	100	306
166	101	306
167	102	305
168	102	305
169	103	304
170	103	303
171	104	303
172	105	302
173	105	302
174	106	301
175	107	301
176	107	300
177	108	299
178	108	299
179	109	298
180	110	298
181	110	297
182	111	296
183	111	295
184	112	295
185	113	294
186	113	294
187	114	293
188	114	292
189	115	292
190	115	291
191	116	290
192	117	290
193	117	289
194	118	288
195	118	288
196	119	287
197	120	286
198	120	286
199	121	285
200	121	284
201	122	284
202	123	283
203	123	282
204	124	282
205	124	281
206	125	281
207	125	280
208	126	279
209	127	279
210	127	278
211	128	277
212	128	277
213	129	276
214	130	275
215	130	275
216	131	274
217	131	274
218	132	273
219	133	272
220	133	272
221	134	271
222	134	270
223	135	270
224	135	269
225	136	268
226	137	268
227	137	267
228	138	266
229	138	266
230	139	265
231	140	265
232	140	264
233	141	263
234	141	263
235	142	262
236	143	261
237	143	261
238	144	260
239	144	260
240	145	259
241	146	258
242	146	258
243	147	257
244	147	257
245	148	256
246	149	255
247	149	255
248	150	254
249	150	253
250	151	253
251	151	252
252	152	252
253	153	251
254	153	250
255	154	250
256	154	249
257	155	248
258	156	248
259	156	247
260	157	247
261	157	246
262	158	245
263	159	245
264	159	244
265	160	243
266	160	243
267	161	242
268	162	242
269	162	241
270	163	240
271	163	240
272	164	239
273	164	238
274	165	238
275	166	237
276	166	237
277	167	236
278	167	235
279	168	235
280	169	234
281	169	234
282	170	233
283	170	232
284	171	232
285	172	231
286	172	231
287	173	230
